pi,pi_window,issue_number,issue_title,issue_url,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 26.4,2026-07-12 to 2026-10-17,20,[Designer]-[Objective 11]: Tile server migration,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/20,Nadia Hassan,Backend,0.2,2026-08-04,2026-09-16,0.45,0.09
PI 26.4,2026-07-12 to 2026-10-17,20,[Designer]-[Objective 11]: Tile server migration,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/20,Sofia Rossi,PM,1.0,2026-08-04,2026-09-16,0.45,0.45
PI 26.4,2026-07-12 to 2026-10-17,21,[Frontend]-[Objective 12]: Metadata schema v3,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/21,Carla Diaz,Geospatial,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,22,[Designer]-[Objective 13]: Alerting pipeline,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/22,Morgan Reyes,Jupyterhub,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,22,[Designer]-[Objective 13]: Alerting pipeline,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/22,Priya Patel,Data Curator,1.0,2026-07-12,2026-10-17,1.0,1.0
PI 26.4,2026-07-12 to 2026-10-17,23,[Jupyterhub]-[Objective 14]: Cloud cost monitoring,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/23,Devon Lee,Frontend,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,23,[Jupyterhub]-[Objective 14]: Cloud cost monitoring,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/23,Liam Walsh,Data Curator,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,24,[Jupyterhub]-[Objective 15]: Wildfire severity model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/24,Rae Thompson,Frontend,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,24,[Jupyterhub]-[Objective 15]: Wildfire severity model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/24,Sofia Rossi,PM,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,25,[Jupyterhub]-[Objective 16]: Public API documentation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/25,Sofia Rossi,PM,0.3,2026-07-26,2026-08-19,0.26,0.08
PI 26.4,2026-07-12 to 2026-10-17,26,[Frontend]-[Objective 17]: Onboarding revamp,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/26,Bob Martinez,Backend,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,26,[Frontend]-[Objective 17]: Onboarding revamp,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/26,Nadia Hassan,Backend,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,26,[Frontend]-[Objective 17]: Onboarding revamp,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/26,Priya Patel,Data Curator,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,27,[Jupyterhub]-[Objective 18]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/27,Jordan Kim,Designer,0.3,2026-08-17,2026-10-16,0.62,0.19
PI 26.4,2026-07-12 to 2026-10-17,27,[Jupyterhub]-[Objective 18]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/27,Morgan Reyes,Jupyterhub,0.2,2026-08-17,2026-10-16,0.62,0.12
PI 26.4,2026-07-12 to 2026-10-17,27,[Jupyterhub]-[Objective 18]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/27,Rae Thompson,Frontend,0.6,2026-08-17,2026-10-16,0.62,0.37
PI 26.4,2026-07-12 to 2026-10-17,27,[Jupyterhub]-[Objective 18]: STAC catalog buildout,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/27,Taylor Brooks,Comms,0.2,2026-08-17,2026-10-16,0.62,0.12
PI 26.4,2026-07-12 to 2026-10-17,28,[ML]-[Objective 19]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/28,Alice Nguyen,PM,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,28,[ML]-[Objective 19]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/28,Elena Petrova,Designer,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,28,[ML]-[Objective 19]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/28,Taylor Brooks,Comms,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,28,[ML]-[Objective 19]: Imagery mosaicking,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/28,Yuki Tanaka,ML,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 20]: Latency profiling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/29,Bob Martinez,Backend,0.2,2026-07-24,2026-09-20,0.6,0.12
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 20]: Latency profiling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/29,Carla Diaz,Geospatial,0.75,2026-07-24,2026-09-20,0.6,0.45
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 20]: Latency profiling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/29,Devon Lee,Frontend,0.3,2026-07-24,2026-09-20,0.6,0.18
PI 26.4,2026-07-12 to 2026-10-17,29,[Frontend]-[Objective 20]: Latency profiling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/29,Morgan Reyes,Jupyterhub,0.75,2026-07-24,2026-09-20,0.6,0.45
PI 26.4,2026-07-12 to 2026-10-17,31,[Frontend]-[Objective 22]: Hurricane track ingestion,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/31,Rae Thompson,Frontend,0.25,2026-08-15,2026-09-08,0.26,0.06
PI 26.4,2026-07-12 to 2026-10-17,32,[ML]-[Objective 23]: Access log analytics,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/32,Jordan Kim,Designer,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,32,[ML]-[Objective 23]: Access log analytics,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/32,Taylor Brooks,Comms,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,33,[ML]-[Objective 24]: Model retraining harness,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/33,Devon Lee,Frontend,0.75,2026-08-05,2026-09-14,0.42,0.31
PI 26.4,2026-07-12 to 2026-10-17,33,[ML]-[Objective 24]: Model retraining harness,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/33,Elena Petrova,Designer,0.3,2026-08-05,2026-09-14,0.42,0.13
PI 26.4,2026-07-12 to 2026-10-17,33,[ML]-[Objective 24]: Model retraining harness,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/33,Liam Walsh,Data Curator,0.8,2026-08-05,2026-09-14,0.42,0.33
PI 26.4,2026-07-12 to 2026-10-17,33,[ML]-[Objective 24]: Model retraining harness,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/33,Yuki Tanaka,ML,0.25,2026-08-05,2026-09-14,0.42,0.1
PI 26.4,2026-07-12 to 2026-10-17,34,[Data Curator]-[Objective 25]: Colormap library,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/34,Alice Nguyen,PM,0.8,2026-07-15,2026-09-14,0.63,0.51
PI 26.4,2026-07-12 to 2026-10-17,34,[Data Curator]-[Objective 25]: Colormap library,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/34,Jordan Kim,Designer,0.25,2026-07-15,2026-09-14,0.63,0.16
PI 26.4,2026-07-12 to 2026-10-17,34,[Data Curator]-[Objective 25]: Colormap library,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/34,Owen Clark,Geospatial,0.8,2026-07-15,2026-09-14,0.63,0.51
PI 26.4,2026-07-12 to 2026-10-17,34,[Data Curator]-[Objective 25]: Colormap library,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/34,Sofia Rossi,PM,1.0,2026-07-15,2026-09-14,0.63,0.63
PI 26.4,2026-07-12 to 2026-10-17,34,[Data Curator]-[Objective 25]: Colormap library,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/34,Yuki Tanaka,ML,0.75,2026-07-15,2026-09-14,0.63,0.47
PI 26.4,2026-07-12 to 2026-10-17,35,[PM]-[Objective 26]: Region-of-interest tooling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/35,Owen Clark,Geospatial,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,36,[Frontend]-[Objective 27]: Backfill orchestration,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/36,Jordan Kim,Designer,1.0,2026-07-12,2026-10-17,1.0,1.0
PI 26.4,2026-07-12 to 2026-10-17,36,[Frontend]-[Objective 27]: Backfill orchestration,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/36,Sofia Rossi,PM,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,37,[PM]-[Objective 28]: Vector tile support,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/37,Carla Diaz,Geospatial,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,37,[PM]-[Objective 28]: Vector tile support,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/37,Nadia Hassan,Backend,0.6,2026-07-12,2026-10-17,1.0,0.6
PI 26.4,2026-07-12 to 2026-10-17,37,[PM]-[Objective 28]: Vector tile support,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/37,Sam Okoro,ML,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,37,[PM]-[Objective 28]: Vector tile support,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/37,Taylor Brooks,Comms,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,38,[Backend]-[Objective 29]: Search relevance tuning,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/38,Jordan Kim,Designer,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,38,[Backend]-[Objective 29]: Search relevance tuning,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/38,Owen Clark,Geospatial,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,38,[Backend]-[Objective 29]: Search relevance tuning,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/38,Taylor Brooks,Comms,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,39,[Frontend]-[Objective 30]: Incident runbook automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/39,Carla Diaz,Geospatial,0.2,2026-07-25,2026-09-19,0.58,0.12
PI 26.4,2026-07-12 to 2026-10-17,39,[Frontend]-[Objective 30]: Incident runbook automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/39,Owen Clark,Geospatial,0.5,2026-07-25,2026-09-19,0.58,0.29
PI 26.4,2026-07-12 to 2026-10-17,39,[Frontend]-[Objective 30]: Incident runbook automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/39,Taylor Brooks,Comms,0.3,2026-07-25,2026-09-19,0.58,0.17
PI 26.4,2026-07-12 to 2026-10-17,40,[Data Curator]-[Objective 31]: COG pipeline hardening,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/40,Alice Nguyen,PM,0.8,2026-08-15,2026-10-17,0.65,0.52
PI 26.4,2026-07-12 to 2026-10-17,40,[Data Curator]-[Objective 31]: COG pipeline hardening,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/40,Elena Petrova,Designer,0.2,2026-08-15,2026-10-17,0.65,0.13
PI 26.4,2026-07-12 to 2026-10-17,40,[Data Curator]-[Objective 31]: COG pipeline hardening,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/40,Sam Okoro,ML,0.4,2026-08-15,2026-10-17,0.65,0.26
PI 27.2,2026-10-18 to 2027-01-16,41,[Backend]-[Objective 32]: S3 ingestion API v2,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/41,Carla Diaz,Geospatial,0.3,2026-10-24,2026-12-20,0.64,0.19
PI 27.2,2026-10-18 to 2027-01-16,41,[Backend]-[Objective 32]: S3 ingestion API v2,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/41,Priya Patel,Data Curator,1.0,2026-10-24,2026-12-20,0.64,0.64
PI 27.2,2026-10-18 to 2027-01-16,42,[Comms]-[Objective 33]: Disaster dashboard redesign,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/42,Alice Nguyen,PM,0.1,2026-11-27,2027-01-04,0.43,0.04
PI 27.2,2026-10-18 to 2027-01-16,42,[Comms]-[Objective 33]: Disaster dashboard redesign,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/42,Carla Diaz,Geospatial,0.4,2026-11-27,2027-01-04,0.43,0.17
PI 27.2,2026-10-18 to 2027-01-16,42,[Comms]-[Objective 33]: Disaster dashboard redesign,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/42,Elena Petrova,Designer,0.1,2026-11-27,2027-01-04,0.43,0.04
PI 27.2,2026-10-18 to 2027-01-16,42,[Comms]-[Objective 33]: Disaster dashboard redesign,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/42,Morgan Reyes,Jupyterhub,0.6,2026-11-27,2027-01-04,0.43,0.26
PI 27.2,2026-10-18 to 2027-01-16,42,[Comms]-[Objective 33]: Disaster dashboard redesign,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/42,Sofia Rossi,PM,0.5,2026-11-27,2027-01-04,0.43,0.21
PI 27.2,2026-10-18 to 2027-01-16,43,[Backend]-[Objective 34]: Flood extent model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/43,Owen Clark,Geospatial,0.8,2026-10-18,2027-01-16,1.0,0.8
PI 27.2,2026-10-18 to 2027-01-16,43,[Backend]-[Objective 34]: Flood extent model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/43,Rae Thompson,Frontend,0.8,2026-10-18,2027-01-16,1.0,0.8
PI 27.2,2026-10-18 to 2027-01-16,43,[Backend]-[Objective 34]: Flood extent model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/43,Yuki Tanaka,ML,0.6,2026-10-18,2027-01-16,1.0,0.6
PI 27.2,2026-10-18 to 2027-01-16,44,[PM]-[Objective 35]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/44,Elena Petrova,Designer,0.6,2026-12-01,2027-01-01,0.35,0.21
PI 27.2,2026-10-18 to 2027-01-16,44,[PM]-[Objective 35]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/44,Liam Walsh,Data Curator,0.1,2026-12-01,2027-01-01,0.35,0.04
PI 27.2,2026-10-18 to 2027-01-16,44,[PM]-[Objective 35]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/44,Owen Clark,Geospatial,0.25,2026-12-01,2027-01-01,0.35,0.09
PI 27.2,2026-10-18 to 2027-01-16,44,[PM]-[Objective 35]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/44,Priya Patel,Data Curator,0.4,2026-12-01,2027-01-01,0.35,0.14
PI 27.2,2026-10-18 to 2027-01-16,44,[PM]-[Objective 35]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/44,Sofia Rossi,PM,0.25,2026-12-01,2027-01-01,0.35,0.09
PI 27.2,2026-10-18 to 2027-01-16,45,[Comms]-[Objective 36]: Stakeholder reporting portal,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/45,Yuki Tanaka,ML,0.3,2026-10-18,2027-01-16,1.0,0.3
PI 27.2,2026-10-18 to 2027-01-16,47,[Frontend]-[Objective 38]: Reprojection service scaling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/47,Bob Martinez,Backend,0.1,2026-10-18,2027-01-16,1.0,0.1
PI 27.2,2026-10-18 to 2027-01-16,47,[Frontend]-[Objective 38]: Reprojection service scaling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/47,Elena Petrova,Designer,0.25,2026-10-18,2027-01-16,1.0,0.25
PI 27.2,2026-10-18 to 2027-01-16,47,[Frontend]-[Objective 38]: Reprojection service scaling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/47,Liam Walsh,Data Curator,0.25,2026-10-18,2027-01-16,1.0,0.25
PI 27.2,2026-10-18 to 2027-01-16,47,[Frontend]-[Objective 38]: Reprojection service scaling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/47,Nadia Hassan,Backend,0.25,2026-10-18,2027-01-16,1.0,0.25
PI 27.2,2026-10-18 to 2027-01-16,47,[Frontend]-[Objective 38]: Reprojection service scaling,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/47,Yuki Tanaka,ML,0.6,2026-10-18,2027-01-16,1.0,0.6
PI 27.2,2026-10-18 to 2027-01-16,48,[Comms]-[Objective 39]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/48,Bob Martinez,Backend,0.1,2026-10-18,2027-01-16,1.0,0.1
PI 27.2,2026-10-18 to 2027-01-16,48,[Comms]-[Objective 39]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/48,Carla Diaz,Geospatial,0.6,2026-10-18,2027-01-16,1.0,0.6
PI 27.2,2026-10-18 to 2027-01-16,48,[Comms]-[Objective 39]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/48,Jordan Kim,Designer,0.75,2026-10-18,2027-01-16,1.0,0.75
PI 27.2,2026-10-18 to 2027-01-16,48,[Comms]-[Objective 39]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/48,Rae Thompson,Frontend,0.2,2026-10-18,2027-01-16,1.0,0.2
PI 27.2,2026-10-18 to 2027-01-16,49,[Geospatial]-[Objective 40]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/49,Alice Nguyen,PM,0.5,2026-11-16,2026-12-30,0.49,0.25
PI 27.2,2026-10-18 to 2027-01-16,49,[Geospatial]-[Objective 40]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/49,Nadia Hassan,Backend,0.6,2026-11-16,2026-12-30,0.49,0.3
PI 27.2,2026-10-18 to 2027-01-16,49,[Geospatial]-[Objective 40]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/49,Rae Thompson,Frontend,0.3,2026-11-16,2026-12-30,0.49,0.15
PI 27.2,2026-10-18 to 2027-01-16,50,[Data Curator]-[Objective 41]: Tile server migration,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/50,Priya Patel,Data Curator,0.5,2026-10-18,2027-01-16,1.0,0.5
PI 27.2,2026-10-18 to 2027-01-16,50,[Data Curator]-[Objective 41]: Tile server migration,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/50,Sam Okoro,ML,0.8,2026-10-18,2027-01-16,1.0,0.8
PI 27.2,2026-10-18 to 2027-01-16,50,[Data Curator]-[Objective 41]: Tile server migration,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/50,Yuki Tanaka,ML,0.6,2026-10-18,2027-01-16,1.0,0.6
